상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Agricultural Corporation Aram Limited,농식품 제조,2014,"Suite 307,bidg#1,Venture Support Center,HanseoUeiversity,46,Hanseo-1Ro,Seosan City,Choognam,Korea(Post code:31962)",www.aramag.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,BeRM INTERNATIONAL,수출업 수입업 연구및개발업,2017,,www.bermintl.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Georyu Agricultural Corporations,제조업,2007,,www.georyu.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"ORANGE PEOPLE CO .,LTD",제조업,2013,"#312, 150, Jojeong-daero, Hanam-si, Gyeonggi-do, 12930, South of Korea",www.cupful.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Bob Lee Burger System co.,Ltd","프랜차이즈컨설팅,가공식품,무역",2014,"14, Sangin-ro, Dalseo-gu, Daegu",www.bobleeburger.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,HB CORPORATION,수출입업,2009,"259-2, Sinseon-ro, Nam-gu, Busan",www.foodtrade.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,SEYEON FOODS,"식품제조, 유통, 프랜차이즈",2013,"14 Tecno Jungangdaero2gil, Yugaeup, Dalseonggun, Daegu, Korea",www.seyeonfoods.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Ourhome co.,Ltd","집단급식, 수출입업",,,www.ourhome.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"ORANGE PEOPLE CO .,LTD",제조업,2013,"#312, 150, Jojeong-daero, Hanam-si, Gyeonggi-do, 12930, South of Korea",www.cupful.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,HB CORPORATION,수출입업,2009,"259-2, Sinseon-ro, Nam-gu, Busan",www.foodtrade.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,NamGyeong Organic farm,농산물 제조/유통,2015,"587-28, Okdan-ro, Okjong-myeon, Hadong-gun, Gyeongsangnam-do, Republic of Korea",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"HANMIRAE FOOD CO., LTD","도소매,제조업,무역",2013,"No, 9-61, Yeongdong-gil,Hamchang-eup, Sangju city, Gyeongsangbuk-do, Korea",http://hanmirae.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K20] JINJU,"식품가공.제조/식육/식육,농산물/임대/전산용역",1963,"441, Yeoksam-ro, Gangnam-gu, Seoul",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K20] JINJU,"식품가공.제조/식육/식육,농산물/임대/전산용역",1963,"441, Yeoksam-ro, Gangnam-gu, Seoul",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Aureate,식품제조,2001,South Korea,www.aureate.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K01] AGRICULTURAL COMPANY CORP JAYEONTEO,농산물.농산물가공.농산물,2015,"400, Seonghyeon-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do",www.gentlematto.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"HAEYEAREUM CO.,LTD",제조,2009,"1520 Seonammun-ro, Doch-myen Shinan-gun, Jeollanam-do Korea",www.haeyeareum.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,NamGyeong Organic farm,농산물 제조/유통,2015,"587-28, Okdan-ro, Okjong-myeon, Hadong-gun, Gyeongsangnam-do, Republic of Korea",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"[K19] I’M DNL CO., LTD",가공식품,2017,,www. younmifoods.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Aureate,식품제조,2001,South Korea,www.aureate.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,NamGyeong Organic farm,농산물 제조/유통,2015,"587-28, Okdan-ro, Okjong-myeon, Hadong-gun, Gyeongsangnam-do, Republic of Korea",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Aureate,식품제조,2001,South Korea,www.aureate.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Dong-Seo Pharm Well-Being Co., Ltd",건강기능식품제조,2011,,http://www.pharmds.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Ecopanax Co.Ltd.,홍삼한방제품,2013,"38, Hongsamhanbang-ro, Jinan-eup, Jinan-gun, Jeollabuk-do, Republic of Korea",www.ecopanax.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"BEBEFOOD KOREA CO., LTD.","조미식품,무역",2009,"25, Sagimakgol-ro 105beon-gil, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",www.bebefood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,NamGyeong Organic farm,농산물 제조/유통,2015,"587-28, Okdan-ro, Okjong-myeon, Hadong-gun, Gyeongsangnam-do, Republic of Korea",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,E&B TRADE,무역업,2013,"27, NOKMYEONG 1-GIL, GAKNAM-MYEON, CHEONGDO-GUN, GYEONGSANGBUK-DO",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Korean Pear Export INC.,수출업체,2014,"77, Gosokcheol-daero, Baebang-eup, Asan-si, Chungcheongnam-do",www.koreapear.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,SAMILFOOD,제조업,2003,95 Yeonmu-ro Yeonmu-eup Nonsan-si Chungcheonnam-do Republic of Korea,http://samilfood.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Bob Lee Burger System co.,Ltd","프랜차이즈컨설팅,가공식품,무역",2014,"14, Sangin-ro, Dalseo-gu, Daegu",www.bobleeburger.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"VILAC CO., LTD","액상시유, 연유, 발효유제품",1963,"152 Jaseong-ro, Munhyeon-dong, Nam-gu, Busan, Korea",www.vilac.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"KJ CO., LTD.",Tea and Natural Beverage Concentration,2014,"#124-202, 2, Gajaeulmirae-ro, Seodaemun-gu, Seoul, 03711 KOREA",www.kookjefood.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"KJ CO., LTD.",Tea and Natural Beverage Concentration,2014,"#124-202, 2, Gajaeulmirae-ro, Seodaemun-gu, Seoul, 03711 KOREA",www.kookjefood.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Korean Pear Export INC.,수출업체,2014,"77, Gosokcheol-daero, Baebang-eup, Asan-si, Chungcheongnam-do",www.koreapear.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"KJ CO., LTD.",Tea and Natural Beverage Concentration,2014,"#124-202, 2, Gajaeulmirae-ro, Seodaemun-gu, Seoul, 03711 KOREA",www.kookjefood.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"KJ CO., LTD.",Tea and Natural Beverage Concentration,2014,"#124-202, 2, Gajaeulmirae-ro, Seodaemun-gu, Seoul, 03711 KOREA",www.kookjefood.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"KJ CO., LTD.",Tea and Natural Beverage Concentration,2014,"#124-202, 2, Gajaeulmirae-ro, Seodaemun-gu, Seoul, 03711 KOREA",www.kookjefood.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Dong-Seo Pharm Well-Being Co., Ltd",건강기능식품제조,2011,,http://www.pharmds.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SEOJIN ACCESS CO., LTD.",농수산물수출입,2014,"97, Centum jungang-ro, Haeundae-gu, Busan",www.sjaccess.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Georyu Agricultural Corporations,제조업,2007,,www.georyu.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Dong-Seo Pharm Well-Being Co., Ltd",건강기능식품제조,2011,,http://www.pharmds.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"HANSUNG FOOD CO ., LTD","제조, 도소매, 무역",1986,"9-10, Ojeong-ro 134 Beon-gil, Ojeong-gu, Bucheon-si, Gyeonggi-do, KOREA",www.hskimchi.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,RAON,무역,2017,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,SAMILFOOD,제조업,2003,95 Yeonmu-ro Yeonmu-eup Nonsan-si Chungcheonnam-do Republic of Korea,http://samilfood.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Ourhome co.,Ltd","집단급식, 수출입업",,,www.ourhome.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Handofood Co.,Ltd.",누룽지 외,2008,"543-9, Sail-ro, Cheongtong-myeon, Yeongcheon-si, Gyeongsangbuk-do",www.handofood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SEOJIN ACCESS CO., LTD.",농수산물수출입,2014,"97, Centum jungang-ro, Haeundae-gu, Busan",www.sjaccess.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"[K09] FINE FT CO., LTD","식품제조가공업, 식품첨가물제조업 등",2007,"3524, Charyeong-ro, Jeongan-myeon, Gongju-si, Chungcheongnam-do, 32511, South Korea",www.fineft.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Handofood Co.,Ltd.",누룽지 외,2008,"543-9, Sail-ro, Cheongtong-myeon, Yeongcheon-si, Gyeongsangbuk-do",www.handofood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K01] AGRICULTURAL COMPANY CORP JAYEONTEO,농산물.농산물가공.농산물,2015,"400, Seonghyeon-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do",www.gentlematto.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"ORANGE PEOPLE CO .,LTD",제조업,2013,"#312, 150, Jojeong-daero, Hanam-si, Gyeonggi-do, 12930, South of Korea",www.cupful.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Ecopanax Co.Ltd.,홍삼한방제품,2013,"38, Hongsamhanbang-ro, Jinan-eup, Jinan-gun, Jeollabuk-do, Republic of Korea",www.ecopanax.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,HB CORPORATION,수출입업,2009,"259-2, Sinseon-ro, Nam-gu, Busan",www.foodtrade.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K29] SEORAKSAN GREEN FOOD CO.,농산물 가공,2014,"41-50, Powolsaemal-gil, Yangyang-eup, Yangyang-gun, Gangwon-do, Korea",www.sgreenfood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K20] JINJU,"식품가공.제조/식육/식육,농산물/임대/전산용역",1963,"441, Yeoksam-ro, Gangnam-gu, Seoul",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Dong-Seo Pharm Well-Being Co., Ltd",건강기능식품제조,2011,,http://www.pharmds.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Ourhome co.,Ltd","집단급식, 수출입업",,,www.ourhome.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"HANMIRAE FOOD CO., LTD","도소매,제조업,무역",2013,"No, 9-61, Yeongdong-gil,Hamchang-eup, Sangju city, Gyeongsangbuk-do, Korea",http://hanmirae.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,NamGyeong Organic farm,농산물 제조/유통,2015,"587-28, Okdan-ro, Okjong-myeon, Hadong-gun, Gyeongsangnam-do, Republic of Korea",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K29] SEORAKSAN GREEN FOOD CO.,농산물 가공,2014,"41-50, Powolsaemal-gil, Yangyang-eup, Yangyang-gun, Gangwon-do, Korea",www.sgreenfood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Agricultural Corporation Aram Limited,농식품 제조,2014,"Suite 307,bidg#1,Venture Support Center,HanseoUeiversity,46,Hanseo-1Ro,Seosan City,Choognam,Korea(Post code:31962)",www.aramag.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,E&B TRADE,무역업,2013,"27, NOKMYEONG 1-GIL, GAKNAM-MYEON, CHEONGDO-GUN, GYEONGSANGBUK-DO",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"[K19] I’M DNL CO., LTD",가공식품,2017,,www. younmifoods.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,BeRM INTERNATIONAL,수출업 수입업 연구및개발업,2017,,www.bermintl.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SERIM HYUNMI CO., LTD.",식물성유지,2003,"24, Gongdan 1-gil, Jeongeup-si, Jeolabuk-do, Republic of Korea",www.serim.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,RAON,무역,2017,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SAONGWON CO.,LTD","냉동식품,수출업",1995,"76-17, Hansam-ro 153beon-gil, Daeso-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",www.saongwon.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,TEAZEN.Inc.,"다류, 식품, 무역",2001,"80-23, Daeun-gil, Gyegok-myeon, Haenam-gun, Jeollanam-do",www.teazen.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Hankook Tea Co.,차류,1951,,www.hankooktea.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Aureate,식품제조,2001,South Korea,www.aureate.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Georyu Agricultural Corporations,제조업,2007,,www.georyu.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"BEBEFOOD KOREA CO., LTD.","조미식품,무역",2009,"25, Sagimakgol-ro 105beon-gil, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",www.bebefood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,DAYWELLZ,"건강식품, 농산물",2017,"39, Janggi-ro 10-gil, Dalseo-gu, Daegu",www.daywellz.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Dong-Seo Pharm Well-Being Co., Ltd",건강기능식품제조,2011,,http://www.pharmds.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Ecopanax Co.Ltd.,홍삼한방제품,2013,"38, Hongsamhanbang-ro, Jinan-eup, Jinan-gun, Jeollabuk-do, Republic of Korea",www.ecopanax.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"ORANGE PEOPLE CO .,LTD",제조업,2013,"#312, 150, Jojeong-daero, Hanam-si, Gyeonggi-do, 12930, South of Korea",www.cupful.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Handofood Co.,Ltd.",누룽지 외,2008,"543-9, Sail-ro, Cheongtong-myeon, Yeongcheon-si, Gyeongsangbuk-do",www.handofood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Aureate,식품제조,2001,South Korea,www.aureate.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,SEYEON FOODS,"식품제조, 유통, 프랜차이즈",2013,"14 Tecno Jungangdaero2gil, Yugaeup, Dalseonggun, Daegu, Korea",www.seyeonfoods.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"HANMIRAE FOOD CO., LTD","도소매,제조업,무역",2013,"No, 9-61, Yeongdong-gil,Hamchang-eup, Sangju city, Gyeongsangbuk-do, Korea",http://hanmirae.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"ORANGE PEOPLE CO .,LTD",제조업,2013,"#312, 150, Jojeong-daero, Hanam-si, Gyeonggi-do, 12930, South of Korea",www.cupful.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"WONIL FOOD CO., LTD",식품 제조,1988,"28, Nambusunhwan-ro 378-gil, Gangnam-gu, Seoul",www.wonilfood.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Chungwoo Food Corp.,Ltd",제조업,2004,"54-3 Nonggongdanji-gil, Goa-eup, Gumi-si, Kyungsangbuk-do",www.chungwoofood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Aureate,식품제조,2001,South Korea,www.aureate.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"HAEYEAREUM CO.,LTD",제조,2009,"1520 Seonammun-ro, Doch-myen Shinan-gun, Jeollanam-do Korea",www.haeyeareum.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Pocheon eco-friendly mountain farming association corporation,농산물,2014,"62-11, Kkotbaesan 3-gil, Gunnae-myeon, Pocheon-si, Gyeonggi-do, Republic of Korea",www.sanchaeum.con
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Chammiso Agricultural Corp.,"제조업,도매 및 소매",2000,"159, Ihwa-ro, Pyeongtaek-si, Gyeonggi-do, Republic of Korea",www.chammiso.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Hankook Tea Co.,차류,1951,,www.hankooktea.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Agricultural Corporation Aram Limited,농식품 제조,2014,"Suite 307,bidg#1,Venture Support Center,HanseoUeiversity,46,Hanseo-1Ro,Seosan City,Choognam,Korea(Post code:31962)",www.aramag.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SERIM HYUNMI CO., LTD.",식물성유지,2003,"24, Gongdan 1-gil, Jeongeup-si, Jeolabuk-do, Republic of Korea",www.serim.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Ourhome co.,Ltd","집단급식, 수출입업",,,www.ourhome.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,RAON,무역,2017,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K20] JINJU,"식품가공.제조/식육/식육,농산물/임대/전산용역",1963,"441, Yeoksam-ro, Gangnam-gu, Seoul",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Chammiso Agricultural Corp.,"제조업,도매 및 소매",2000,"159, Ihwa-ro, Pyeongtaek-si, Gyeonggi-do, Republic of Korea",www.chammiso.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"KEIL co., LTD.",식용곤충활용식품 제조업,2016,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Handofood Co.,Ltd.",누룽지 외,2008,"543-9, Sail-ro, Cheongtong-myeon, Yeongcheon-si, Gyeongsangbuk-do",www.handofood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,RAON,무역,2017,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,SEYEON FOODS,"식품제조, 유통, 프랜차이즈",2013,"14 Tecno Jungangdaero2gil, Yugaeup, Dalseonggun, Daegu, Korea",www.seyeonfoods.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SAONGWON CO.,LTD","냉동식품,수출업",1995,"76-17, Hansam-ro 153beon-gil, Daeso-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",www.saongwon.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Pocheon eco-friendly mountain farming association corporation,농산물,2014,"62-11, Kkotbaesan 3-gil, Gunnae-myeon, Pocheon-si, Gyeonggi-do, Republic of Korea",www.sanchaeum.con
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Bob Lee Burger System co.,Ltd","프랜차이즈컨설팅,가공식품,무역",2014,"14, Sangin-ro, Dalseo-gu, Daegu",www.bobleeburger.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Dong-Seo Pharm Well-Being Co., Ltd",건강기능식품제조,2011,,http://www.pharmds.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,HB CORPORATION,수출입업,2009,"259-2, Sinseon-ro, Nam-gu, Busan",www.foodtrade.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,RAON,무역,2017,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SERIM HYUNMI CO., LTD.",식물성유지,2003,"24, Gongdan 1-gil, Jeongeup-si, Jeolabuk-do, Republic of Korea",www.serim.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Ourhome co.,Ltd","집단급식, 수출입업",,,www.ourhome.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,TEAZEN.Inc.,"다류, 식품, 무역",2001,"80-23, Daeun-gil, Gyegok-myeon, Haenam-gun, Jeollanam-do",www.teazen.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Georyu Agricultural Corporations,제조업,2007,,www.georyu.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,SAMILFOOD,제조업,2003,95 Yeonmu-ro Yeonmu-eup Nonsan-si Chungcheonnam-do Republic of Korea,http://samilfood.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"[K09] FINE FT CO., LTD","식품제조가공업, 식품첨가물제조업 등",2007,"3524, Charyeong-ro, Jeongan-myeon, Gongju-si, Chungcheongnam-do, 32511, South Korea",www.fineft.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Pocheon eco-friendly mountain farming association corporation,농산물,2014,"62-11, Kkotbaesan 3-gil, Gunnae-myeon, Pocheon-si, Gyeonggi-do, Republic of Korea",www.sanchaeum.con
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"BrandAcumen CO., LTD.",식품제조,2002,"A-1404, 53, mapo-daero, mapo-gu, seoul, 04158, Korea",http://www.superbeverage.co.kr/
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"Bob Lee Burger System co.,Ltd","프랜차이즈컨설팅,가공식품,무역",2014,"14, Sangin-ro, Dalseo-gu, Daegu",www.bobleeburger.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"ORANGE PEOPLE CO .,LTD",제조업,2013,"#312, 150, Jojeong-daero, Hanam-si, Gyeonggi-do, 12930, South of Korea",www.cupful.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,E&B TRADE,무역업,2013,"27, NOKMYEONG 1-GIL, GAKNAM-MYEON, CHEONGDO-GUN, GYEONGSANGBUK-DO",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Korean Pear Export INC.,수출업체,2014,"77, Gosokcheol-daero, Baebang-eup, Asan-si, Chungcheongnam-do",www.koreapear.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,E&B TRADE,무역업,2013,"27, NOKMYEONG 1-GIL, GAKNAM-MYEON, CHEONGDO-GUN, GYEONGSANGBUK-DO",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Pocheon eco-friendly mountain farming association corporation,농산물,2014,"62-11, Kkotbaesan 3-gil, Gunnae-myeon, Pocheon-si, Gyeonggi-do, Republic of Korea",www.sanchaeum.con
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K20] JINJU,"식품가공.제조/식육/식육,농산물/임대/전산용역",1963,"441, Yeoksam-ro, Gangnam-gu, Seoul",N
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,"SAONGWON CO.,LTD","냉동식품,수출업",1995,"76-17, Hansam-ro 153beon-gil, Daeso-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",www.saongwon.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,RAON,무역,2017,,
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Ecopanax Co.Ltd.,홍삼한방제품,2013,"38, Hongsamhanbang-ro, Jinan-eup, Jinan-gun, Jeollabuk-do, Republic of Korea",www.ecopanax.com
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,[K29] SEORAKSAN GREEN FOOD CO.,농산물 가공,2014,"41-50, Powolsaemal-gil, Yangyang-eup, Yangyang-gun, Gangwon-do, Korea",www.sgreenfood.co.kr
2018 LA K-FOOD FAIR,Sheraton Grand Los Angeles,2018,9,6,Korean Pear Export INC.,수출업체,2014,"77, Gosokcheol-daero, Baebang-eup, Asan-si, Chungcheongnam-do",www.koreapear.com
